"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2023","2023",1368,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2024","2024",1382,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2019","2019",733,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",712,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2021","2021",638,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2022","2022",692,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2023","2023",686,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2024","2024",666,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2019","2019",483,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",455,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2021","2021",442,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2022","2022",468,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2023","2023",401,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2024","2024",487,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2019","2019",483,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",453,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2021","2021",413,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2022","2022",435,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2023","2023",432,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2024","2024",459,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2019","2019",742,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",721,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2021","2021",729,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2022","2022",692,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2023","2023",682,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2024","2024",716,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2019","2019",1502,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",1491,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2021","2021",1462,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2022","2022",1376,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2023","2023",1378,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2024","2024",1380,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2019","2019",963,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",981,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2021","2021",933,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2022","2022",885,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2023","2023",909,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2024","2024",842,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2019","2019",737,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2020","2020",738,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2021","2021",725,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2022","2022",646,,
