y_pred_hmm_multi_state,y_pred_hmm_one_state,y_test,y_pred_glm,error_hmm_ms,error_hmm_os,error_glm,error_glm_rounded,error_hmm_ms_rounded,error_hmm_os_rounded
0.19236553,2.7415494e-05,1,1,-1.0,-1.0,0,0,-1,-1
1.0516639,0.0011534608,2,1,-1.0,-2.0,-1,-1,-1,-2
0.31775862,0.00013453902,2,1,-2.0,-2.0,-1,-1,-2,-2
0.722519,0.0011534608,0,1,1.0,0.0,1,1,1,0
0.31775862,0.00013453902,0,1,0.0,0.0,1,1,0,0
1.3732252,2.400095,0,1,1.0,2.0,1,1,1,2
0.35582808,0.00013453902,0,1,0.0,0.0,1,1,0,0
0.37144986,0.0002350447,0,1,0.0,0.0,1,1,0,0
1.4196578,2.400095,1,1,0.0,1.0,0,0,0,1
0.26859975,0.00013453902,1,1,-1.0,-1.0,0,0,-1,-1
0.8568286,0.0011534608,3,1,-2.0,-3.0,-2,-2,-2,-3
0.56450254,0.0002350447,0,1,1.0,0.0,1,1,1,0
1.3259287,2.400095,1,1,0.0,1.0,0,0,0,1
0.95280325,0.0011534608,1,1,0.0,-1.0,0,0,0,-1
0.8568286,0.0011534608,2,1,-1.0,-2.0,-1,-1,-1,-2
0.35582808,0.00013453902,1,1,-1.0,-1.0,0,0,-1,-1
0.8568286,0.0011534608,0,1,1.0,0.0,1,1,1,0
0.6415685,0.0011534608,0,1,1.0,0.0,1,1,1,0
0.37640673,0.00013453902,0,1,0.0,0.0,1,1,0,0
0.35122335,0.0002350447,1,1,-1.0,-1.0,0,0,-1,-1
0.13820913,2.7415494e-05,0,1,0.0,0.0,1,1,0,0
0.6464094,0.00019281147,3,1,-2.0,-3.0,-2,-2,-2,-3
0.5311096,0.0002350447,1,1,0.0,-1.0,0,0,0,-1
0.810558,0.0011534608,3,1,-2.0,-3.0,-2,-2,-2,-3
0.37640673,0.00013453902,0,1,0.0,0.0,1,1,0,0
0.62268287,0.00019281147,0,1,1.0,0.0,1,1,1,0
1.0516639,0.0011534608,0,1,1.0,0.0,1,1,1,0
0.35582808,0.00013453902,2,1,-2.0,-2.0,-1,-1,-2,-2
0.417125,0.0002350447,1,1,-1.0,-1.0,0,0,-1,-1
0.332627,0.0002350447,0,1,0.0,0.0,1,1,0,0
0.6464094,0.00019281147,1,1,0.0,-1.0,0,0,0,-1
0.9043235,0.0011534608,2,1,-1.0,-2.0,-1,-1,-1,-2
0.332627,0.0002350447,0,1,0.0,0.0,1,1,0,0
0.13820913,2.7415494e-05,2,1,-2.0,-2.0,-1,-1,-2,-2
0.5356989,0.0005521052,1,1,0.0,-1.0,0,0,0,-1
0.22870868,0.00013453902,0,1,0.0,0.0,1,1,0,0
0.56450254,0.0002350447,0,1,1.0,0.0,1,1,1,0
1.694305,2.4977822,0,1,2.0,2.0,1,1,2,2
0.332627,0.0002350447,0,1,0.0,0.0,1,1,0,0
